     IDoc Number		Date	Time		Direction		Partner	Status	Descr.	IDoc type	Messg.Type	Test	Port
Number	Segment type			Number		Hier.level							
													
													
219748321		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748322		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748323		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748324		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748325		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748326		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748327		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748328		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748329		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748330		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748331		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748332		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748333		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748334		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748335		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748336		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748337		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748338		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748339		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748340		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748341		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748342		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748343		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748344		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748345		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748346		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748347		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748348		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748349		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748350		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748351		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748352		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748353		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748354		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748355		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748356		9/2/2013	23:47:03		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748357		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748358		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748359		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748360		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748361		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748362		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748363		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748364		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748365		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748366		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748367		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748368		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748369		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748370		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748371		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748372		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748373		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748374		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748375		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748376		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748377		9/2/2013	23:47:04		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
